question,expected_fields
Which month had the worst consumer confidence index? .,"['aai', 'aad']"
"I'm curious, how many assets does Walmart have in total?.",['af']
"Hey buddy, could you tell me the R&D to SG&A expense ratio for T-Mobile?.","['ac', 'ad']"
Could you tell me about the current unemployment rate in the United States?.,"['aab', 'al']"
"Yeah, yeah, I am not sure. Are there any rumors or news on social media that could possibly affect the stock prices of specific companies?.",['aai']
"Hey mate, you know that 10-year US Treasury Government Bond? How does it stack up against the S&P General Industry Classification Consumer Discretionary Sector Index in terms of performance?","['aah', 'am']"
"Yo, buddy, check it out, how does the 10 year treasury bond yield compare to consumer confidence?","['aah', 'aad']"
"Could you help me find information about Microsoft? Right, when is their ex-dividend date and also, what is their enterprise value?.","['b', 'r']"
Can you tell me what Tesla's long term debt to total assets ratio is?,"['af', 'w']"
"I don't know much about this stuff, but I think the CPI has an impact on the S&P General Industry Classification Energy Sector Index, you know?","['aj', 'aw']"
What was the change in consumer confidence between December 2022 and January 2023?.,"['ax', 'aad']"
"Seriously, like, why do you even care? But anyways, I think Nike's ex-dividend date was recently, and it's in the fashion or sports industry or something right?","['b', 'u']"
"Hey buddy, do you know if the Consumer Price Index for all urban items has gone up or down this month?.",['aw']
Could you tell me more about the current trends in the cryptocurrency market?,['aai']
"Do you want to know about Microsoft's inventory days held? Got it, so Microsoft has a specific number of days in which they hold inventory before selling it, you see?.",['v']
Could you tell me the price-earnings ratio for Adobe on the most recent ex-dividend date?,"['b', 'f']"
Could you tell me the current value of the S&P 500 Composite index?.,['au']
"Oh, I am not sure. Could you repeat that? Something about Pfizer, their classification and when they last didn't pay dividends?","['u', 'b']"
"So, do you know about the total liabilities of Home Depot?.",['ag']
"I am not sure about the exact amount, but Boeing is a well-known company that generates a significant amount of revenue. Perhaps you can do some research to find the specific number.",['y']
Could you tell me more about any potential mergers or acquisitions that may be happening in the near future? I'm interested in hearing any insider information or rumors you may have about this topic.,['aai']
"I have no clue, man. Can't even begin to guess. How much dough does Proctor & Gamble have?.",['af']
Could you tell me the difference between JPMorgan's R&D spending and its shareholder's equity?.,"['ac', 'ah']"
Could you tell me about Intel's inventory turnover rate and total shareholders' equity? I'm curious about that..,"['v', 'ah']"
"Hey there! Which sector, information technology or materials, had a better performance yesterday in the S&P?","['al', 'ap']"
Could you tell me about the relationship between the federal funds rate and the S&P 500 information technology sector index?.,"['ay', 'al']"
"Okay, let's see... So, the CPI affects the S&P General Industry Classification Energy Sector Index, right? Can you tell me more about that interaction?.","['aj', 'aw']"
"According to the news data, what is the correlation between the ISM non-manufacturing survey index and the stock market?.","['aaj', 'aac']"
"I'm not sure I understand, but let's see... Hmm, well ex-dividend date and net interest income are both important factors to consider in financial analysis. They are not directly related, but they can both have an impact on a company's overall financial health.","['b', 'x']"
Could you tell me about the difference between Walt Disney's total shareholder's equity and operating expenses? I am curious to know more about this topic.,"['ah', 'ab']"
"I am not sure but I think Amazon's cost of goods sold is probably higher than most other companies in the retail industry. I mean, they are huge, so their expenses have to be high, right?",['m']
Could you tell me about the relationship between the federal funds rate and the S&P 500 index for the information technology sector?.,"['ay', 'al']"
"Hey buddy, do you know what's the latest scoop on Chevron?.",['aaj']
"Can you tell me how the GDP price index relates to the federal funds rate, you know buddy?.","['ay', 'aaa']"
Do you know the current value of the Consumer Discretionary Sector Index?.,['am']
"Uh, I don't know. Last week, I think there might have been something about Oracle, but I can't remember what it was. Sorry.",['aaj']
"Yeah, I don't know. How has Merck been earning per share in the last year?",['t']
"I am not really sure, but I think there might be some correlation between the S&P 500 Financials Sector Index and the Leading Economic Indicator.","['aag', 'aq']"
"What's the difference in Comcast's net sales and its current liabilities, you know friend?.","['y', 'o']"
"Uh, I don't know. What was Tesla's stock price today and how much do they make from interest?","['d', 'x']"
Do you know what the current stock price for Intel is?,['g']
"Can you tell me the earnings per share for JPMorgan Chase in the last 12 months, as well as their total shareholders' equity?","['t', 'ah']"
"I'm not entirely sure, but if I had to guess, I would say a good portion of Salesforce's operating expenses are allocated towards sales, general, and administrative expenses. However, I don't have the exact percentage.","['ab', 'ad']"
"Honestly, I don't think the ISM Purchasing Managers Index (MFG Survey) has much of an impact on the Information Technology sector. It just doesn't seem relevant.","['az', 'al']"
I don't know at all. Err... how much debt does Philip Morris company have?.,['ag']
