question,expected_fields
"When is Chevron paying off its long term debt after the ex-dividend date? I mean, how many days are we talking about here?.","['stock_data.date_ex_dividend', 'stock_data.long_term_debt']"
Is the ISM manufacturing index greater than the S&P 500 real estate sector index?.,"['economic_indicators.ism_mfg', 'market_data.Real_Estate']"
"Uh... I don't know, man. Is T-Mobile US making money?.",['stock_data.operating_income']
"I don't know, let me check. What's the buzz about Tesla on social media and the internet these days?.",['external_data_source']
How many shares of Tesla do investors currently have?.,['stock_data.common_shares_outstanding']
What is the debt to EV ratio of Walmart?.,"['stock_data.long_term_debt', 'stock_data.enterprise_value']"
Can you tell me more about the performance of the Utilities and Energy sectors yesterday?.,"['market_data.Utilities', 'market_data.Energy']"
Do you seriously think that there could be any significant changes made by the government that would actually affect the financial industry?.,['external_data_source']
"Like, seriously, does anyone really care about how Adobe makes money from non-operating interest? I mean, come on. .",['stock_data.interest_income_not_banks']
"Do you know which company has a higher EV/COGS ratio between Coca-Cola and PepsiCo, mate?.","['stock_data.enterprise_value', 'stock_data.cogs']"
Let's take a look at the performance of Materials and Consumer Staples in 2020. Which one do you think did better?,"['market_data.Materials', 'market_data.Consumer_Staples']"
"Oh gosh, I am not sure. How does the S&P Energy Sector stack up against Consumer Confidence?","['market_data.Energy', 'economic_indicators.consumer_confidence']"
Are there any potential stock market impacts from social media news or rumors about certain companies?.,['external_data_source']
"Hey there buddy, can you tell me what's new with Apple? Maybe the top 5 things that have been going on with them recently?",['news_data_source']
"You want to know about the energy sector's performance in the stock market? Sure, let me see what I can find for you, alright?.",['market_data.Energy']
Can we look at Johnson & Johnson's cost of goods sold compared to its number of employees? I'm curious about the correlation between the two..,"['stock_data.cogs', 'stock_data.employees']"
"Oh God, I don't know. Err... Can you tell me how much Costco spends on their goods compared to the number of shares they have?.","['stock_data.common_shares_outstanding', 'stock_data.cogs']"
"Could you tell me the current stock price of PepsiCo, friend?.",['stock_data.price_close']
What's the current value of the leading economic indicators index for the US?.,['economic_indicators.conf_board_leading_indicators']
"Which sector does the Health Care index belong to in the S&P General Industry Classification? Also, what about the Consumer Staples index, which sector does it belong to?","['market_data.Health_Care', 'market_data.Consumer_Staples']"
"Oh gosh, I have no clue. Have you heard anything on social media about the financial health of a company? I haven't been keeping up with it..",['external_data_source']
What's up with Mastercard's earnings per share in comparison to their total liabilities?,"['stock_data.eps_trailing_12_month', 'stock_data.liabilities_total']"
The energy sector is actually doing pretty poorly in the stock market right now. What's the deal with that?.,['market_data.Energy']
"Ugh, I don't know. How long does it usually take for Salesforce to get rid of their inventory?.",['stock_data.inventories_days_held']
"What is the daily trading volume for S&P Energy, you know buddy?.",['market_data.Energy']
What is the current state of the GDP price index in the United States compared to five years ago?,['economic_indicators.personal_consumption_expenditure']
Could you tell me the total assets of Proctor & Gamble?.,['stock_data.assets_total']
"Hey friend, can you tell me how much more Pfizer owes compared to what their shareholders own?","['stock_data.liabilities_short_term', 'stock_data.shareholders_equity']"
Could you tell me if the ISM Nonmanufacturers Survey Index indicates the non-manufacturing economy in the US is expanding or declining?,"['economic_indicators.ism_non_mfg', 'market_data.Industrials']"
